CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2022-10-18 15:01:58.3539410,C:\Windows\System32\winevt\logs\Microsoft-Windows-WinINet%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WinINet%4Operational.evtx,69632,B5A6155E744701D266AF0D26A128AF58B146DF8C,True,2022-10-12 03:11:20.8538293,2022-10-12 03:11:20.8538293,2022-10-12 03:11:20.8538293,00:00:00
2022-10-18 15:01:58.3695645,C:\Windows\System32\winevt\logs\Microsoft-Windows-WinINet-Config%4ProxyConfigChanged.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WinINet-Config%4ProxyConfigChanged.evtx,69632,F62FFD379AC821CEDAC49F1AF9F3802572AB54C4,True,2022-08-05 10:12:08.8892394,2022-09-10 20:57:35.6073879,2022-10-12 03:11:06.2444535,00:00:00.0156235
2022-10-18 15:01:58.3851960,C:\Windows\System32\winevt\logs\Microsoft-Windows-Winlogon%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-Winlogon%4Operational.evtx,1052672,10EA237CA62B9682CDA22DAE84B31CE16B18D759,True,2022-08-05 10:14:18.6757514,2022-10-15 11:45:04.3169466,2022-10-15 11:45:04.3169466,00:00:00
2022-10-18 15:01:58.4008228,C:\Windows\System32\winevt\logs\Microsoft-Windows-WinRM%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WinRM%4Operational.evtx,1052672,73725FE9C4206B2B1D6716B07C42EFC0B9F2943D,True,2022-08-05 10:15:52.4675581,2022-10-16 17:03:53.2769549,2022-10-16 17:03:53.2769549,00:00:00
2022-10-18 15:01:58.4633174,C:\Windows\System32\winevt\logs\Microsoft-Windows-WMI-Activity%4Operational.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-Windows-WMI-Activity%4Operational.evtx,1052672,279E3E6478FBCFDD13B818C96DF5D3681166B062,True,2022-08-05 10:12:08.8110652,2022-10-17 03:12:06.2954620,2022-10-17 03:12:06.2954620,00:00:00
2022-10-18 15:01:58.5258160,C:\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Diagnostics%4GuestAgent.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Diagnostics%4GuestAgent.evtx,1052672,DBC2D62DF22C9442E08C414B3D5EF59287E492D2,True,2022-09-10 20:30:47.2759164,2022-10-18 14:43:28.7104129,2022-10-18 14:43:48.8090655,00:00:00.0156177
2022-10-18 15:01:58.5883171,C:\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Diagnostics%4Heartbeat.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Diagnostics%4Heartbeat.evtx,1052672,A1A08C122A99D57A86EEA998E8D9EC1D1478B92C,True,2022-09-10 20:30:47.2915382,2022-10-18 14:43:41.8040577,2022-10-18 14:43:48.8246955,00:00:00
2022-10-18 15:01:58.6820630,C:\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Status%4GuestAgent.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Status%4GuestAgent.evtx,1052672,ED8363BDC5DE7B934C1E27E8071A36459E27FC28,True,2022-09-10 20:30:47.7134158,2022-10-18 14:36:20.1044858,2022-10-18 14:43:48.8559778,00:00:00.0156162
2022-10-18 15:01:58.7133170,C:\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Status%4Plugins.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Microsoft-WindowsAzure-Status%4Plugins.evtx,1052672,26A7E3BE0047D4D70F62073CD74BE35089C17960,True,2022-09-10 20:30:47.7290374,2022-10-12 03:21:06.0409997,2022-10-18 14:43:48.8715777,00:00:00
2022-10-18 15:01:58.9008149,C:\Windows\System32\winevt\logs\Operations Manager.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Operations Manager.evtx,3215360,DEDBCEF50A48015DCF72A652BD50BA187089FE52,True,2022-09-10 20:54:01.8417632,2022-10-17 03:11:45.2448565,2022-10-17 03:14:38.0088860,00:00:00
2022-10-18 15:01:59.4945328,C:\Windows\System32\winevt\logs\Security.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Security.evtx,10555392,BCF01EEE4F262D0205D2B31B79A7666A44C971E9,True,2022-08-05 10:12:07.7016412,2022-10-18 13:57:33.0174785,2022-10-18 13:57:33.0174785,00:00:00.0468761
2022-10-18 15:01:59.4945328,C:\Windows\System32\winevt\logs\Setup.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Setup.evtx,69632,06D398326A2AC5554CD6DA8CBA61AF8762E47A31,True,2022-08-05 10:13:43.2173453,2022-10-12 03:12:22.5723940,2022-10-12 03:12:22.5723940,00:00:00
2022-10-18 15:01:59.5726554,C:\Windows\System32\winevt\logs\System.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\System.evtx,1118208,AC17F7AC354D0D4AA51B159A0DB7FF81419F7988,True,2022-08-05 10:12:07.6703915,2022-10-18 12:50:01.4629077,2022-10-18 14:43:48.9028104,00:00:00.0156179
2022-10-18 15:02:00.2601586,C:\Windows\System32\winevt\logs\Windows PowerShell.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Windows PowerShell.evtx,11603968,0A9AA3D38FA5EC4BA4F31643A085BF2561236F5C,True,2022-08-05 10:12:07.7485108,2022-10-17 03:12:06.0140747,2022-10-17 03:12:06.0140747,00:00:00.0312507
2022-10-18 15:02:00.3539055,C:\Windows\AppCompat\Programs\Amcache.hve,C:\KAPE\TriageData_w10-example\C\Windows\AppCompat\Programs\Amcache.hve,1572864,6D9963CFAC18AD1CCC42516925834DDCA0C1D11B,True,2022-09-10 20:39:00.6075995,2022-10-12 03:10:43.5409948,2022-10-12 03:10:43.5409948,00:00:00
2022-10-18 15:02:00.3695351,C:\Windows\AppCompat\Programs\Amcache.hve.LOG1,C:\KAPE\TriageData_w10-example\C\Windows\AppCompat\Programs\Amcache.hve.LOG1,98304,61927516049B0D376319BCEF0CD6B1C0231D60DD,True,2022-08-05 10:14:26.9570069,2022-08-05 10:14:26.9570069,2022-08-05 10:14:26.9570069,00:00:00
2022-10-18 15:02:00.3851603,C:\Windows\AppCompat\Programs\Amcache.hve.LOG2,C:\KAPE\TriageData_w10-example\C\Windows\AppCompat\Programs\Amcache.hve.LOG2,393216,0F2D6F61783006AFEBCAFA7208B3F5F79E562D96,True,2022-08-05 10:14:26.9570069,2022-08-05 10:14:26.9570069,2022-08-05 10:14:26.9570069,00:00:00
2022-10-18 15:02:25.2132911,C:\$MFT,C:\KAPE\TriageData_w10-example\C\$MFT,408944640,FA8B08E5EF93559537786749E161A7AB0C9F8932,True,2022-08-05 10:01:09.0126217,2022-08-05 10:01:09.0126217,2022-08-05 10:01:09.0126217,00:00:01.9062429
2022-10-18 15:02:28.9007671,C:\$LogFile,C:\KAPE\TriageData_w10-example\C\$LogFile,67108864,F49052C558B06D0084C47BE2258AA8D1EA5E6967,True,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,00:00:00.1874981
2022-10-18 15:02:32.7757765,C:\$Extend\$UsnJrnl:$J,C:\KAPE\TriageData_w10-example\C\$Extend\$J,907577112,91595FB65C5BD91EDADA0C1077C8B598644C8DF9,True,2022-08-05 10:11:47.8974372,2022-08-05 10:11:47.8974372,2022-08-05 10:11:47.8974372,00:00:01.9531269
2022-10-18 15:02:32.7757765,C:\$Extend\$UsnJrnl:$Max,C:\KAPE\TriageData_w10-example\C\$Extend\$Max,32,520064D466F420CFCF9265466415D70AE786123E,True,2022-08-05 10:11:47.8974372,2022-08-05 10:11:47.8974372,2022-08-05 10:11:47.8974372,00:00:00
2022-10-18 15:02:32.9945204,C:\$Secure:$SDS,C:\KAPE\TriageData_w10-example\C\$Secure_$SDS,3470996,3F533E764404B280C53F3FBC4077265A92644F78,True,2022-08-05 10:01:09.0126217,2022-08-05 10:01:09.0126217,2022-08-05 10:01:09.0126217,00:00:00.0156154
2022-10-18 15:02:33.0101443,C:\$Boot,C:\KAPE\TriageData_w10-example\C\$Boot,8192,8FF00CDADDB504AB1FD23863B2C30A672D73FC19,True,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,1601-01-01 00:00:00.0000000,00:00:00.0156239
2022-10-18 15:02:33.0726455,C:\$Extend\$RmMetadata\$TxfLog\$Tops:$T,C:\KAPE\TriageData_w10-example\C\$Extend\$RmMetadata\$TxfLog\$T,1048576,966EC537601D2BE182E160D4D3ED8201188C621C,True,2022-08-05 10:01:09.1532463,2022-08-05 10:01:09.1532463,2022-08-05 10:01:09.1532463,00:00:00
