system,driver_file,driver_base,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","\SystemRoot\system32\drivers\SleepStudyHelper.sys","0xFFFFF8071F2A0000","C:\Windows\system32\drivers\","SleepStudyHelper.sys","38200","0x20","ARCHIVE","2019-12-07T09:08:49Z","2022-10-18T10:45:07Z","2019-12-07T09:08:49Z","Microsoft Corporation","Sleep Study Helper","10.0.19041.1 (WinBuild.160101.0800)","SleepStudyHelper.sys","&#169; Microsoft Corporation. All rights reserved.","SleepStudyHelper.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","ddbf5c3b1f1b01bc6794c0c59ba9c61e","43c377d0e0245d17e880e8504142634a0d989055","b7c79da2f5af2d4111c3a027e07363bf84964eb51f6058ce1ce747d5e28246a3"
"CrowdResponse","\SystemRoot\System32\Drivers\acpiex.sys","0xFFFFF8071F2D0000","C:\Windows\System32\Drivers\","acpiex.sys","139792","0x20","ARCHIVE","2019-12-07T09:08:09Z","2022-10-18T15:02:10Z","2019-12-07T09:08:09Z","Microsoft Corporation","ACPIEx Driver","10.0.19041.1 (WinBuild.160101.0800)","acpiex.sys","&#169; Microsoft Corporation. All rights reserved.","acpiex.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","70d9fc69ced08e86b888717cc5c37367","b63eb0e7761464b2e348fa5c5a4213dae8601268","34856c805b67f3ee4abfd81b61879112344c343bc7e76a7a466fad276e0e5165"
"CrowdResponse","\SystemRoot\system32\drivers\mssecflt.sys","0xFFFFF8071F300000","C:\Windows\system32\drivers\","mssecflt.sys","367440","0x20","ARCHIVE","2022-10-12T02:45:49Z","2022-10-18T15:02:14Z","2022-10-12T02:45:49Z","Microsoft Corporation","Microsoft Security Events Component file system filter driver","10.0.19041.1 (WinBuild.160101.0800)","mssecflt","&#169; Microsoft Corporation. All rights reserved.","mssecflt.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","21d57b9dd70153b31375f9ee09c722d4","97b9a7680a791f6d94aef40cd880a5fab8b5e1b6","57731311f386ef6744d361a02fc83cbc6fb331818a14391217bbbc88117a3f9e"
"CrowdResponse","\SystemRoot\system32\drivers\SgrmAgent.sys","0xFFFFF8071F360000","C:\Windows\system32\drivers\","SgrmAgent.sys","88080","0x20","ARCHIVE","2019-12-07T09:09:33Z","2022-10-18T15:02:16Z","2019-12-07T09:09:33Z","Microsoft Corporation","System Guard Runtime Monitor Agent Driver","10.0.19041.1 (WinBuild.160101.0800)","SgrmAgent","&#169; Microsoft Corporation. All rights reserved.","SgrmAgent.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","c05648c2be6176be557d9c7f02916388","8c19d9f9462261031ea465aff2f3832b15ef2460","c65d8feddcd9a52b04f42c64dad2a499bf51246d36042e8dc09dd04c4c0b7bee"
"CrowdResponse","\SystemRoot\System32\drivers\ACPI.sys","0xFFFFF8071F380000","C:\Windows\System32\drivers\","ACPI.sys","810344","0x20","ARCHIVE","2022-08-05T09:26:20Z","2022-10-18T15:02:10Z","2022-08-05T09:26:20Z","Microsoft Corporation","ACPI Driver for NT","10.0.19041.1 (WinBuild.160101.0800)","ACPI.sys","&#169; Microsoft Corporation. All rights reserved.","ACPI.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","644498bd614668d4e43160bceaded841","c29917256f89a09912e82c467779c5cc00233968","d95dfd8e8fbd35cdedc51157e8e6390b1881946fa22279231fc15c9a5e7eed7b"
"CrowdResponse","\SystemRoot\System32\drivers\WMILIB.SYS","0xFFFFF8071F450000","C:\Windows\System32\drivers\","WMILIB.SYS","19472","0x20","ARCHIVE","2019-12-07T09:08:49Z","2022-10-18T10:45:07Z","2019-12-07T09:08:49Z","Microsoft Corporation","WMILIB WMI support library Dll","10.0.19041.1 (WinBuild.160101.0800)","WmiLib.sys","&#169; Microsoft Corporation. All rights reserved.","WmiLib.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","44424fd39aa0f9934e555552d2b7389b","c05d81a5128c0034511459f5dfc593e5aabc1f85","f40b867e02980863b618e42779d220c0b848e7c256d8ed91c15e11c4a84a0dde"
"CrowdResponse","\SystemRoot\System32\drivers\intelpep.sys","0xFFFFF8071F480000","C:\Windows\System32\drivers\","intelpep.sys","418800","0x20","ARCHIVE","2022-08-05T09:26:20Z","2022-10-18T15:02:13Z","2022-08-05T09:26:20Z","Microsoft Corporation","Intel Power Engine Plugin","10.0.19041.1266 (WinBuild.160101.0800)","intelpep.sys","&#169; Microsoft Corporation. All rights reserved.","intelpep.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1266","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Hardware Abstraction Layer Publisher","Embedded","4b8355cfe8040201551215f760b051a8","2f23968ff651232cd8e74ba7ce308ecd4e91e405","5d6958f2c527d465aed88b6604f9527b4612b4b5bc4f9f234e5200def7438bad"
"CrowdResponse","\SystemRoot\system32\drivers\WindowsTrustedRT.sys","0xFFFFF8071F4F0000","C:\Windows\system32\drivers\","WindowsTrustedRT.sys","76984","0x20","ARCHIVE","2019-12-07T09:08:37Z","2022-10-18T15:02:18Z","2019-12-07T09:08:37Z","Microsoft Corporation","Windows Trusted Runtime Interface Driver","10.0.19041.1 (WinBuild.160101.0800)","WindowsTrustedRT.sys","&#169; Microsoft Corporation. All rights reserved.","WindowsTrustedRT.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Hardware Abstraction Layer Publisher","Embedded","b434a84f46c70f4e67b70ed70f024b7f","78520309a82edada322d0f16742f4c95928817a5","64eeb8093ba2590e83d83c5af7c2a025b88af5681143bca83671104266feea99"
"CrowdResponse","\SystemRoot\System32\drivers\IntelTA.sys","0xFFFFF8071F510000","C:\Windows\System32\drivers\","IntelTA.sys","26608","0x20","ARCHIVE","2022-08-05T09:26:20Z","2022-10-18T15:02:16Z","2022-08-05T09:26:20Z","Microsoft Corporation","Intel Telemetry Driver","10.0.19041.546 (WinBuild.160101.0800)","IntelTA.sys","&#169; Microsoft Corporation. All rights reserved.","IntelTA.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.546","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Hardware Abstraction Layer Publisher","Embedded","2213610676b404b157adffe312567458","f620530ca33ee5ec81a39f6bc5dbf128e5622669","b2e02c5049357a2dff1cf4f6f64ac6e1dccedc245e96d5bc0585e88e7622d1b9"
"CrowdResponse","\SystemRoot\System32\drivers\WindowsTrustedRTProxy.sys","0xFFFFF8071F520000","C:\Windows\System32\drivers\","WindowsTrustedRTProxy.sys","18920","0x20","ARCHIVE","2019-12-07T09:07:56Z","2022-10-18T15:02:18Z","2019-12-07T09:07:56Z","Microsoft Corporation","Windows Trusted Runtime Service Proxy Driver","10.0.19041.1 (WinBuild.160101.0800)","WindowsTrustedRTProxy.sys","&#169; Microsoft Corporation. All rights reserved.","WindowsTrustedRTProxy.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Hardware Abstraction Layer Publisher","Embedded","982774b74ee1419d641ceb66e394a4ba","bda0ab525598cb1a5fd9f81258033d1c41f8e4f2","090c4ce6b76b3904b5ae73e4f1eebce619194c358874d7584537012f954c54be"
