2022-10-06 06:06:19 status triggers-pending man-db:amd64 2.9.1-1
2022-10-06 06:06:19 status unpacked isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 startup packages configure
2022-10-06 06:06:19 configure isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4 <none>
2022-10-06 06:06:19 status unpacked isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 status half-configured isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 status installed isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 trigproc man-db:amd64 2.9.1-1 <none>
2022-10-06 06:06:19 status half-configured man-db:amd64 2.9.1-1
2022-10-06 06:06:19 status installed man-db:amd64 2.9.1-1
2022-10-11 06:14:52 startup archives unpack
2022-10-11 06:14:52 install linux-modules-5.15.0-1021-azure:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:14:52 status half-installed linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 status unpacked linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 install linux-image-5.15.0-1021-azure:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 status half-installed linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 status unpacked linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 upgrade linux-azure:amd64 5.15.0.1020.25~20.04.13 5.15.0.1021.26~20.04.14
2022-10-11 06:14:55 status half-configured linux-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:14:55 status unpacked linux-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:14:55 status half-installed linux-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:14:55 status unpacked linux-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:14:55 upgrade linux-image-azure:amd64 5.15.0.1020.25~20.04.13 5.15.0.1021.26~20.04.14
2022-10-11 06:14:55 status half-configured linux-image-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:14:55 status unpacked linux-image-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:14:55 status half-installed linux-image-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:14:55 status unpacked linux-image-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:14:55 install linux-azure-5.15-headers-5.15.0-1021:all <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 status half-installed linux-azure-5.15-headers-5.15.0-1021:all 5.15.0-1021.26~20.04.1
2022-10-11 06:15:02 status unpacked linux-azure-5.15-headers-5.15.0-1021:all 5.15.0-1021.26~20.04.1
2022-10-11 06:15:03 install linux-headers-5.15.0-1021-azure:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:15:03 status half-installed linux-headers-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:04 status unpacked linux-headers-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:04 upgrade linux-headers-azure:amd64 5.15.0.1020.25~20.04.13 5.15.0.1021.26~20.04.14
2022-10-11 06:15:04 status half-configured linux-headers-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:04 status unpacked linux-headers-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:04 status half-installed linux-headers-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:04 status unpacked linux-headers-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:04 install linux-azure-5.15-tools-5.15.0-1021:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:15:04 status half-installed linux-azure-5.15-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status unpacked linux-azure-5.15-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 install linux-tools-5.15.0-1021-azure:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status half-installed linux-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status unpacked linux-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 upgrade linux-tools-azure:amd64 5.15.0.1020.25~20.04.13 5.15.0.1021.26~20.04.14
2022-10-11 06:15:05 status half-configured linux-tools-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:05 status unpacked linux-tools-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:05 status half-installed linux-tools-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:05 status unpacked linux-tools-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:05 install linux-azure-5.15-cloud-tools-5.15.0-1021:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status half-installed linux-azure-5.15-cloud-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status unpacked linux-azure-5.15-cloud-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 install linux-cloud-tools-5.15.0-1021-azure:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status half-installed linux-cloud-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status unpacked linux-cloud-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 upgrade linux-cloud-tools-azure:amd64 5.15.0.1020.25~20.04.13 5.15.0.1021.26~20.04.14
2022-10-11 06:15:05 status half-configured linux-cloud-tools-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:05 status unpacked linux-cloud-tools-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:05 status half-installed linux-cloud-tools-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:15:05 status unpacked linux-cloud-tools-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:05 startup packages configure
2022-10-11 06:15:05 configure linux-azure-5.15-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:05 status unpacked linux-azure-5.15-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status half-configured linux-azure-5.15-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 status installed linux-azure-5.15-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:05 configure linux-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:05 status unpacked linux-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 status half-configured linux-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 status installed linux-tools-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 configure linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:06 status unpacked linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 status half-configured linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 status installed linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 configure linux-azure-5.15-headers-5.15.0-1021:all 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:06 status unpacked linux-azure-5.15-headers-5.15.0-1021:all 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 status half-configured linux-azure-5.15-headers-5.15.0-1021:all 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 status installed linux-azure-5.15-headers-5.15.0-1021:all 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 configure linux-tools-azure:amd64 5.15.0.1021.26~20.04.14 <none>
2022-10-11 06:15:06 status unpacked linux-tools-azure:amd64 5.15.0.1021.26~20.04.14
